"comment","pol","Topic"
"""😂😂😂😂😂","1","blague"
"البطاطا يا خويا يا خويا","1","blague"
"وزير بطاطا","1","blague"
"وزير الاسبوع صولد","1","blague"
"اخر فوطو للبطاطا مسكينة","1","blague"
"""كل انواع البطاطات موجودة ماشاء اللٌه ماشاء اللٌه","1","blague"
"ربي يوفق انشاء الله","1","sociale"
"هههههه لهربة معاكم","1","sociale"
"راحت البطاطا في ذاك الشي المهم الخاوة خبو البطاطا قدلي تقدرو","1","blague"
"النظرة التي أرعبت البطاطا ربي يستر من هاد الشوفة يا سي رزيڨ 🤦","1","blague"
"دعمكم لنا شرف كبير مرحبا بالجميع","1","reseau social"
"توخدو مسكان 😂","1","sociale"
"راح الغالي راح","1","blague"
"نحبوكم اخوتنا الليبين بصح البطاطا راح تزيد عندكم","1","blague"
"ههههه البطاطا  صورة وتعبير","1","blague"
"مهرج","1","blague"
"وزير البطاطا …🥔🥔🥔...😂😂😂","1","blague"
"ههههههههههههه ربي  اسمعنا خير على البطاطا","1","blague"
"ولاد فافا يحبو شرطة ماماهم","1","politique"
"الذباب هه","1","politique"
"الصحراء مغربية و لو كره الحاقدون","1","politique"
"ههه٨😂 تعسو الفيس بوك يا جرذان الذباب","1","politique"
"اه يا الجبري بويندوز 7 حاب تكتشف الثغرات هههه زيدلها كلافي مغبر من التسعينات يا سيدي اكشف هويتي","1","blague"
"هههههعههههه حاجة كبيرة خلعتونا","1","blague"
"كاش جديد على إسترجاع الأموال المنهوبة","1","politique"
"خخخخخ وحد الا دار   زيد   تحكمو شعر","1","blague"
"خارجة عليك لاتوني..... كمليها بوليسية وخلاص","1","blague"
"تيليفون يا شكبي متقدروش ترجعوه ههه","1","politique"
"ههههه سألنا علي الكوميسار","1","politique"
"هههههه وين في الجزائر الجديدة ان شاء الله","1","politique"
"أم  رزآن😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂","1","blague"
"صحاب الفوا كونت😂😂","1","blague"
"ربي يقويهم ويبارك في جهدهم هم الاعين التي تسهر لحماية وطن. ومواطنين ربي ضاعف لهم لاجر وقوي لهم البصر واجعلهم ظاهرين على كل عدو للوطن والملة والدين","1","politique"
"تضحكوني","1","blague"
"كما قال الشاعر عليلو يخوفو فينا 😏","1","sociale"
"انا هو بن لادن.ارواحي هزيني..","1","politique"
"اول مرة نشوف صحفية لابسة  ..🤔..","1","sociale"
"الحمدو،،،،لله ماعنديش فايسبوك،،،،،","1","blague"
"أو هذي صحفية ولا شرطية","1","sociale"
"قرصنة. 🤔🤔🤔🤔😂😂😂😂😂😂😂","1","blague"
"كونان","1","blague"
"😂😂😂لماذا لٱ تتبعون اطارات في الدولة هم سبب الفساد 😏بعدها تتبعو الشعب 😕😕😕","1","politique"
"   è       3    آلية مكافحة الإجرام السيبراني في الجزائر 🤣  ","1","blague"
"تحيا الجزائر","1","sociale"
"بلاد العجب سبحان الله","1","sociale"
"ههههههههههههههه ياخبار اسود","1","blague"
"تحيه الى الرئيس تبون والفريق شنقريحة","1","politique"
"لاغالب إلا الله ☝☝","1","reseau social"
"تباركالله على الأخوة في الجزاير هكذا تكون الأخوة والعروبة","1","sociale"
"تحيا مصر","1","sociale"
"الرئيس غالي وكل مجاهدي.  البوليزاريو ضيوف الجزائر. ومن يتعدى عنهم فانه يتعدى على الجزائر ونقطع رؤوسهم ودابرهم باذن الواحد القهار","1","politique"
"الله يحفظكم انشاء الله يارب العالمين","1","sociale"
"الحمدلله حمدا كثيرا مباركا فيه","1","sociale"
"هذه هي شيم الرجال.","1","sociale"
"الله يدومكم على رؤوسنا","1","sociale"
"تحيا الرئيس عبد المجيد تبون وعاشت الجمهورية العربية الصحراوية","1","sociale"
"اللهم شافيه و عافيه و ارجعه إلى بلده في صحة وعافية","1","sociale"
"جمهرية صحروية دمقرطية شعبية. وتحية الجزاءير","1","politique"
"مليار الدولار لأنفقوا حكام جزاءر  أبقى الصحراء المغربية 🙏","1","politique"
"رئيسين في دولة واحدة يتبادلان الزيارات في المستشفيات 🤣🤣🤣🤣","1","politique"
"هههههههه لا حولة ولا قوة إلا بالله العلي العظيم شعارنا الله الوطن الملك وصحراء مغربية","1","politique"
"ههههههه لا حولة ولا قوة إلا بالله العلي العظيم شعارنا الله الوطن الملك وصحراء مغربية وانشاء الله سبتة ومليلية في الطريق اتقو الله في الشعب الجزائري","1","politique "
"بن بطوش هههههه","1","blague"
"كانت بالتصويرة ضرك رانا قدمنا شوي ولينا بالدوبل باف و الميكرو هههههه","1","blague"
"تجمع شعبي هيهههه البهلول راه يقوللكم يتكلم مع الصحافة كيما أنتم وبعض المعروضين باين هاذوك تاع الميلفاي","1","blague"
"دار العجب","1","blague"
"طاح المستوى نتاع السياسة وطاح معاه نتاع الإعلام ومازال الخير القدام.😜😂🤣😜😂🤣😘😂🤣😜😂","1","politique "
"سكرها الكيلو او ما قدرش ينوض صباح","1","sociale"
"نعم انك في الجزائر","1","politique"
"هههههه، هاو قالها بفمو، الرخيس، راه قدام الميكرو، كاين الصحافة و ليزانفيتي تاوعهم، معنتها الشعب تاع تيزي واحد ماهو سامع بيهم","1","politique"
"ارسل   حمبووووووك باغي طرطڨلي عرق في راسي","1","blague"
"      خلينا مالعقلية هذي","1","sociale"
"كي تقرا التعليقات يا صحافة الخرا تعرف بلي الشعب كله ضدكم كي نتا كي لي يحكم فيك","1","politique"
"واش يقعدو يديرو في بلاد ماربحو منها والو كل البلدان تخدم لصالح شعبها الى في الجزائر يديرو لمستحيل باه يدمرو شعبهم هذا هو لمشكل","1","politique"
"خلهوم يروحو","-1","sociale"
"من أكل حقهم وجعلهم يهاجهرون أليس الجبناء","-1","politique"
"كاين الحرڨة من جهة غزة جماعة الخير","-1","sociale"
"و اغبياء يقودون البلد للهاوية بتقوادهم للاجانب ..","-1","politique"
"على الأقل راهم يحققو فالحلم لأغلب الشباب بالهروب من بلاد الحركى والخيان","-1","sociale"
"عندهم الحق  ، حدود مغلوقة  ، الخدمة ماكانش ، الفقر الزلط ، الزواج مكانش  الغلاء  ، واش بغيتوا   ، عريتوا الشعب","-1","politique"
"اخويا وش الخدمة هذي","-1","sociale"
"مساكين...","-1","sociale"
"علاش راهم يحرڨو عمركم ما قلتوها","-1","politique"
"راهم يدورو في دراهمهم راه ناشفة الحالة","-1","sociale"
"انت علاه ضراتك.انشاء الله يوصلو في ساعة ماشي في 3 سوايع .يتهناو من بلاد الظلم .الله يكون معاهم .","-1","politique"
"نستعرف بيهم .. الله يعاونهم ..واش عطاتلهم لبلاد ؟؟","-1","politique"
"عندهم حق مبقات قعدة فهاذي البلاد","-1","politique"
"وهذي هذا وين فقتلها الفقير حاير في خبزة الفراك","-1","politique"
"تتكلمون علي الأثرية ولاتتكلمون على أصحاب القرار هم من حصاد الأخضر ويبس ماسبب حتى يهربون من البلاد","-1","politique"
"أينما يكون المال توجد عصابة المال الفاسد وتجار البشر واستغلال فقرهم ويأسهم  من وطن صالح إلا للاغنياء والعصبات","-1","politique"
"الى المحقق في هذ الموضوع الم تتساءل لماذا هم يهاجرون و يخاطرون بحايتهم وهي الاغلى ما يملكون انها العصابة اللتي لم تتكلموا عنها وانتم ملامون ومسؤولون عن هذا يوم القيامة فانتم لكم سلطة فيما يجري","-1","politique"
"لو كان لقاو خدمة في بلادهم ما يروحوش وما يغامروش بحياتهم","-1","politique"
"کل مٶسسات التشغیل فی الجزاٸر انهارت الا مٶسسة تجارة البشر۔وکل المنافد اغلقت لکن منفد البحر سیف دو حدین۔ الموت وانهیار الحراک","-1","politique"
"وزراء ،رؤساء أحزب ، برلمانيون ،  كانو سبب في تفريخ الخزينة العمومية وختلاس اموال الشعب","-1","politique"
"راهم يهربو من كم نتوما يا وجوه","-1","politique"
"ولله غير حجا مليحا واحد واش يقعد يقود في هذي بلاد","-1","politique"
"ومن اسباب الحرقة والمغامرة بالنفس في تجربة خطير انتوما صحافة اللحيس والشيتة","-1","politique"
"الاثرياء و المقاولون في حد ذاتهم حراقة","-1","politique"
"عليكم اللعنة يالمخابرات الجزائرية المستعمرة للجزاءر هجرتو و قتلتو شباب فعمر الزهور كل الأرواح المزهوقة بسببكم لعنة تلحقكم للممات يالحركى سباب دزايركليتو لبلاد يا سراقين وجوعتو شعبها ديڨاج يالحركى شيوخ جهنم المجرمين","-1","politique"
"الابلاد لي فيها الشروق و النهار الحرڨة تصبح فيها جهاد...ياخي ڨليط","-1","politique"
"ماتخدموهم ماتخلوهم يروحو يخدمو مناطق الضل تقول لكم نحن لسنا ابناء سوناطراك ولا ابناء المطارات ولا التلفيزيون ....نحن بقية الجزاءر وانا خلينا لكم الجزاءر اتركونا وفقط وشدو لسانكم يا شروق لو تتركون الحرية لصحافيكم ما بقى واحد منهم !","-1","politique"
"هبلتنا بلبطاطا الشعوب المتقدمة نزلوا في القمر وراموا الصاوريخ درت على الكرة الأرضية حكومة شكرة حليب وبطاطا","-1","politique"
"الناس طلعت الصواريخ وانتما اقعدو طايحولنا النيفو بالبطاطا و الحليب والدجاج 🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿😡😠😠😠😠","-1","sociale"
"غير بركاوناديرو استراتيجية باش تكسرو اروحكم كرهناكم...","-1","politique"
"ناس تموت في فلسطين ونتوما تهدرو علا بطاطا لله ينعلكم يا اندال 😒","-1","sociale"
"استراتيجية 😑    ","-1","politique"
"الدول راها  تطور وتخمم كيفاه تعيش فالمريخ  ودزاير مازالها مع استراتيجيات البطاطا والزيت","-1","politique"
"يكسر عضامكم","-1","sociale"
"اذكركم بالسنة الميلادية التي نحن فيها 2021 ورانا في ارض قريتونا فالمدرسة انها ارض خصبة .... قوة اقليمية تاع الكرطون","-1","politique"
"كون غير ترجوا بوتفليقة والله لا كون غايا بطاطا يوم 12 في وهران مزل رانا غير مع بطاطا هدي هي الجزائر جديد انا تبلي كون غير قعدت قديم الخير والله بلد اكبر قارة الأفريقية بطاطا مطقوش عليها هدا مسؤولية وين راهم علبلهم بطاطا وصلت 12 يوم  يا وزيرة التجارة  وين راك حبوك هدي هي بطاطا متفوتش 4 الف  ربي و كليلك حسبي الله و نعم الوكيل فيكم قاع بلد مكي والله","-1","politique"
"واش تكسر راهي ب 100 دج","-1","sociale"
"بلاد ميكي .","-1","politique"
"اقول لوزير التجارة منك لله شهور و الشعب يعاني و لم تستطع وضع  حلا والله انت وزير شؤم على البلاد من يوم توليت المنصب ولا شيء يسر قوت الغلابة تتاجر به كان من المفروض الضرب بيد من حديد على من يقهر الغلابة .","-1","politique"
"خايف تتكسر ظهر الزوالي مهوش تكسر الاسعار","-1","sociale"
"ياودو روحو جاهدو على رواحكم ولا قولو كلمة الحق على وشراه صاري في خاوتنا في غزة لاخرا عندكم باه تقابلو رربي  بطاطا بطاطا بطاطا رجعتو شعب يخمم غيير في كرشو","-1","politique"
"قالك روحو نحرو فلسطين ياو غير نحرو رواحنا قارة كيما لي عايشين فيها مزال نحكيو على البطاااااااااااطا","-1","sociale"
"حسبي الله و نعم الوكيل و الله والله ما نسمح في حقي و حق. أولادي و الله لا في الدنيا و لا في الآخرة","-1","politique"
"هذه شهور وتقول استراتيجية هذا عنوان الفشل استقبلنا يرحم والديكم","-1","politique"
"استقيلوامازالت الجزائر الجديدة تتخبط مع اسعار البطاطا و شئ كهذا سيكتب في التاريخ يا للعار","-1","sociale"
"شبعتونا مقروط","-1","sociale"
